DPBench size: 200

DPBench markdown_text BLEU: mean=0.88 median=0.93 std=0.16

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        1   |       0   |       100   |       2 |
| (0.050, 0.100] |        0   |       1   |        99   |       0 |
| (0.100, 0.150] |        0   |       1   |        99   |       0 |
| (0.150, 0.200] |        0   |       1   |        99   |       0 |
| (0.200, 0.250] |        0   |       1   |        99   |       0 |
| (0.250, 0.300] |        0   |       1   |        99   |       0 |
| (0.300, 0.350] |        1   |       1   |        99   |       2 |
| (0.350, 0.400] |        0.5 |       2   |        98   |       1 |
| (0.400, 0.450] |        0   |       2.5 |        97.5 |       0 |
| (0.450, 0.500] |        1   |       2.5 |        97.5 |       2 |
| (0.500, 0.550] |        1   |       3.5 |        96.5 |       2 |
| (0.550, 0.600] |        0.5 |       4.5 |        95.5 |       1 |
| (0.600, 0.650] |        2   |       5   |        95   |       4 |
| (0.650, 0.700] |        1.5 |       7   |        93   |       3 |
| (0.700, 0.750] |        4.5 |       8.5 |        91.5 |       9 |
| (0.750, 0.800] |        3.5 |      13   |        87   |       7 |
| (0.800, 0.850] |        8   |      16.5 |        83.5 |      16 |
| (0.850, 0.900] |       14.5 |      24.5 |        75.5 |      29 |
| (0.900, 0.950] |       21   |      39   |        61   |      42 |
| (0.950, 1.000] |       40   |      60   |        40   |      80 |


DPBench markdown_text F1: mean=0.96 median=0.98 std=0.07

| F1             |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0.5 |       0   |       100   |       1 |
| (0.200, 0.250] |        0   |       0.5 |        99.5 |       0 |
| (0.250, 0.300] |        0   |       0.5 |        99.5 |       0 |
| (0.300, 0.350] |        0   |       0.5 |        99.5 |       0 |
| (0.350, 0.400] |        0   |       0.5 |        99.5 |       0 |
| (0.400, 0.450] |        0   |       0.5 |        99.5 |       0 |
| (0.450, 0.500] |        0   |       0.5 |        99.5 |       0 |
| (0.500, 0.550] |        0   |       0.5 |        99.5 |       0 |
| (0.550, 0.600] |        0   |       0.5 |        99.5 |       0 |
| (0.600, 0.650] |        0   |       0.5 |        99.5 |       0 |
| (0.650, 0.700] |        0   |       0.5 |        99.5 |       0 |
| (0.700, 0.750] |        0   |       0.5 |        99.5 |       0 |
| (0.750, 0.800] |        0.5 |       0.5 |        99.5 |       1 |
| (0.800, 0.850] |        1.5 |       1   |        99   |       3 |
| (0.850, 0.900] |        7   |       2.5 |        97.5 |      14 |
| (0.900, 0.950] |       24   |       9.5 |        90.5 |      48 |
| (0.950, 1.000] |       66.5 |      33.5 |        66.5 |     133 |


DPBench markdown_text precision: mean=0.97 median=0.98 std=0.04

| precision      |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0   |       0   |       100   |       0 |
