DPBench reading_order ARD_norm: mean=0.99 median=1.00 std=0.02

| ARD_norm       |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0   |       0   |       100   |       0 |
| (0.200, 0.250] |        0   |       0   |       100   |       0 |
| (0.250, 0.300] |        0   |       0   |       100   |       0 |
| (0.300, 0.350] |        0   |       0   |       100   |       0 |
| (0.350, 0.400] |        0   |       0   |       100   |       0 |
| (0.400, 0.450] |        0   |       0   |       100   |       0 |
| (0.450, 0.500] |        0   |       0   |       100   |       0 |
| (0.500, 0.550] |        0   |       0   |       100   |       0 |
| (0.550, 0.600] |        0   |       0   |       100   |       0 |
| (0.600, 0.650] |        0   |       0   |       100   |       0 |
| (0.650, 0.700] |        0   |       0   |       100   |       0 |
| (0.700, 0.750] |        0   |       0   |       100   |       0 |
| (0.750, 0.800] |        0   |       0   |       100   |       0 |
| (0.800, 0.850] |        0.5 |       0   |       100   |       1 |
| (0.850, 0.900] |        0   |       0.5 |        99.5 |       0 |
| (0.900, 0.950] |        4   |       0.5 |        99.5 |       8 |
| (0.950, 1.000] |       95.5 |       4.5 |        95.5 |     191 |


