DPBench tableformer TEDS_struct-only:

mean=0.83 median=0.87 std=0.15

| TEDS_struct-only   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|--------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]     |       0    |      0    |      100    |       0 |
| (0.050, 0.100]     |       1.89 |      0    |      100    |       1 |
| (0.100, 0.150]     |       0    |      1.89 |       98.11 |       0 |
| (0.150, 0.200]     |       0    |      1.89 |       98.11 |       0 |
| (0.200, 0.250]     |       0    |      1.89 |       98.11 |       0 |
| (0.250, 0.300]     |       0    |      1.89 |       98.11 |       0 |
| (0.300, 0.350]     |       0    |      1.89 |       98.11 |       0 |
| (0.350, 0.400]     |       0    |      1.89 |       98.11 |       0 |
| (0.400, 0.450]     |       1.89 |      1.89 |       98.11 |       1 |
| (0.450, 0.500]     |       0    |      3.77 |       96.23 |       0 |
| (0.500, 0.550]     |       0    |      3.77 |       96.23 |       0 |
| (0.550, 0.600]     |       1.89 |      3.77 |       96.23 |       1 |
| (0.600, 0.650]     |       3.77 |      5.66 |       94.34 |       2 |
| (0.650, 0.700]     |       1.89 |      9.43 |       90.57 |       1 |
| (0.700, 0.750]     |       5.66 |     11.32 |       88.68 |       3 |
| (0.750, 0.800]     |       7.55 |     16.98 |       83.02 |       4 |
| (0.800, 0.850]     |      13.21 |     24.53 |       75.47 |       7 |
| (0.850, 0.900]     |      26.42 |     37.74 |       62.26 |      14 |
| (0.900, 0.950]     |      24.53 |     64.15 |       35.85 |      13 |
| (0.950, 1.000]     |      11.32 |     88.68 |       11.32 |       6 |
