DPBench tableformer TEDS_struct-with-text:

mean=0.78 median=0.85 std=0.18

| TEDS_struct-with-text   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-------------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]          |       0    |      0    |      100    |       0 |
| (0.050, 0.100]          |       1.89 |      0    |      100    |       1 |
| (0.100, 0.150]          |       0    |      1.89 |       98.11 |       0 |
| (0.150, 0.200]          |       0    |      1.89 |       98.11 |       0 |
| (0.200, 0.250]          |       0    |      1.89 |       98.11 |       0 |
| (0.250, 0.300]          |       0    |      1.89 |       98.11 |       0 |
| (0.300, 0.350]          |       0    |      1.89 |       98.11 |       0 |
| (0.350, 0.400]          |       3.77 |      1.89 |       98.11 |       2 |
| (0.400, 0.450]          |       1.89 |      5.66 |       94.34 |       1 |
| (0.450, 0.500]          |       3.77 |      7.55 |       92.45 |       2 |
| (0.500, 0.550]          |       1.89 |     11.32 |       88.68 |       1 |
| (0.550, 0.600]          |       0    |     13.21 |       86.79 |       0 |
| (0.600, 0.650]          |       1.89 |     13.21 |       86.79 |       1 |
| (0.650, 0.700]          |       7.55 |     15.09 |       84.91 |       4 |
| (0.700, 0.750]          |       5.66 |     22.64 |       77.36 |       3 |
| (0.750, 0.800]          |       7.55 |     28.3  |       71.7  |       4 |
| (0.800, 0.850]          |      11.32 |     35.85 |       64.15 |       6 |
| (0.850, 0.900]          |      22.64 |     47.17 |       52.83 |      12 |
| (0.900, 0.950]          |      24.53 |     69.81 |       30.19 |      13 |
| (0.950, 1.000]          |       5.66 |     94.34 |        5.66 |       3 |
