DocLayNetV1 size: 4999

DocLayNetV1 markdown_text BLEU: mean=0.71 median=0.84 std=0.30

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       7.76 |      0    |      100    |     388 |
| (0.050, 0.100] |       1.1  |      7.76 |       92.24 |      55 |
| (0.100, 0.150] |       1.3  |      8.86 |       91.14 |      65 |
| (0.150, 0.200] |       1.08 |     10.16 |       89.84 |      54 |
| (0.200, 0.250] |       1.48 |     11.24 |       88.76 |      74 |
| (0.250, 0.300] |       1.4  |     12.72 |       87.28 |      70 |
| (0.300, 0.350] |       1.22 |     14.12 |       85.88 |      61 |
| (0.350, 0.400] |       1.34 |     15.34 |       84.66 |      67 |
| (0.400, 0.450] |       2.04 |     16.68 |       83.32 |     102 |
| (0.450, 0.500] |       2.76 |     18.72 |       81.28 |     138 |
| (0.500, 0.550] |       2.3  |     21.48 |       78.52 |     115 |
| (0.550, 0.600] |       2.56 |     23.78 |       76.22 |     128 |
| (0.600, 0.650] |       3.08 |     26.35 |       73.65 |     154 |
| (0.650, 0.700] |       3.62 |     29.43 |       70.57 |     181 |
| (0.700, 0.750] |       4.8  |     33.05 |       66.95 |     240 |
| (0.750, 0.800] |       6.38 |     37.85 |       62.15 |     319 |
| (0.800, 0.850] |       8.62 |     44.23 |       55.77 |     431 |
| (0.850, 0.900] |      13.36 |     52.85 |       47.15 |     668 |
| (0.900, 0.950] |      17.22 |     66.21 |       33.79 |     861 |
| (0.950, 1.000] |      16.56 |     83.44 |       16.56 |     828 |


DocLayNetV1 markdown_text F1: mean=0.91 median=0.96 std=0.15

| F1             |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0.36 |      0    |      100    |      18 |
| (0.050, 0.100] |       0.38 |      0.36 |       99.64 |      19 |
| (0.100, 0.150] |       0.36 |      0.74 |       99.26 |      18 |
| (0.150, 0.200] |       0.34 |      1.1  |       98.9  |      17 |
| (0.200, 0.250] |       0.46 |      1.44 |       98.56 |      23 |
| (0.250, 0.300] |       0.26 |      1.9  |       98.1  |      13 |
| (0.300, 0.350] |       0.2  |      2.16 |       97.84 |      10 |
| (0.350, 0.400] |       0.4  |      2.36 |       97.64 |      20 |
| (0.400, 0.450] |       0.4  |      2.76 |       97.24 |      20 |
| (0.450, 0.500] |       0.48 |      3.16 |       96.84 |      24 |
| (0.500, 0.550] |       0.66 |      3.64 |       96.36 |      33 |
| (0.550, 0.600] |       0.76 |      4.3  |       95.7  |      38 |
| (0.600, 0.650] |       0.78 |      5.06 |       94.94 |      39 |
| (0.650, 0.700] |       1.16 |      5.84 |       94.16 |      58 |
| (0.700, 0.750] |       1.1  |      7    |       93    |      55 |
| (0.750, 0.800] |       2.1  |      8.1  |       91.9  |     105 |
| (0.800, 0.850] |       4.2  |     10.2  |       89.8  |     210 |
| (0.850, 0.900] |       8.08 |     14.4  |       85.6  |     404 |
| (0.900, 0.950] |      21    |     22.48 |       77.52 |    1050 |
| (0.950, 1.000] |      56.51 |     43.49 |       56.51 |    2825 |


DocLayNetV1 markdown_text precision: mean=0.92 median=0.97 std=0.16

| precision      |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0.58 |      0    |      100    |      29 |
| (0.050, 0.100] |       0.52 |      0.58 |       99.42 |      26 |
| (0.100, 0.150] |       0.58 |      1.1  |       98.9  |      29 |
| (0.150, 0.200] |       0.18 |      1.68 |       98.32 |       9 |
| (0.200, 0.250] |       0.42 |      1.86 |       98.14 |      21 |
| (0.250, 0.300] |       0.28 |      2.28 |       97.72 |      14 |
| (0.300, 0.350] |       0.46 |      2.56 |       97.44 |      23 |
| (0.350, 0.400] |       0.28 |      3.02 |       96.98 |      14 |
| (0.400, 0.450] |       0.34 |      3.3  |       96.7  |      17 |
| (0.450, 0.500] |       0.2  |      3.64 |       96.36 |      10 |
| (0.500, 0.550] |       0.66 |      3.84 |       96.16 |      33 |
| (0.550, 0.600] |       0.44 |      4.5  |       95.5  |      22 |
| (0.600, 0.650] |       0.44 |      4.94 |       95.06 |      22 |
| (0.650, 0.700] |       0.7  |      5.38 |       94.62 |      35 |
| (0.700, 0.750] |       0.68 |      6.08 |       93.92 |      34 |
| (0.750, 0.800] |       1.28 |      6.76 |       93.24 |      64 |
| (0.800, 0.850] |       2    |      8.04 |       91.96 |     100 |
| (0.850, 0.900] |       4.98 |     10.04 |       89.96 |     249 |
| (0.900, 0.950] |      15.78 |     15.02 |       84.98 |     789 |
| (0.950, 1.000] |      69.19 |     30.81 |       69.19 |    3459 |


DocLayNetV1 markdown_text recall: mean=0.92 median=0.96 std=0.12

| recall         |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0.14 |      0    |      100    |       7 |
| (0.050, 0.100] |       0    |      0.14 |       99.86 |       0 |
| (0.100, 0.150] |       0.04 |      0.14 |       99.86 |       2 |
| (0.150, 0.200] |       0.08 |      0.18 |       99.82 |       4 |
| (0.200, 0.250] |       0.2  |      0.26 |       99.74 |      10 |
| (0.250, 0.300] |       0.14 |      0.46 |       99.54 |       7 |
