DPBench size: 200

DPBench markdown_text BLEU: mean=0.92 median=0.96 std=0.13

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0.5 |       0   |       100   |       1 |
| (0.050, 0.100] |        0   |       0.5 |        99.5 |       0 |
| (0.100, 0.150] |        0   |       0.5 |        99.5 |       0 |
| (0.150, 0.200] |        0.5 |       0.5 |        99.5 |       1 |
| (0.200, 0.250] |        0   |       1   |        99   |       0 |
| (0.250, 0.300] |        0   |       1   |        99   |       0 |
| (0.300, 0.350] |        0   |       1   |        99   |       0 |
| (0.350, 0.400] |        0   |       1   |        99   |       0 |
| (0.400, 0.450] |        0.5 |       1   |        99   |       1 |
| (0.450, 0.500] |        0.5 |       1.5 |        98.5 |       1 |
| (0.500, 0.550] |        0.5 |       2   |        98   |       1 |
| (0.550, 0.600] |        0.5 |       2.5 |        97.5 |       1 |
| (0.600, 0.650] |        0.5 |       3   |        97   |       1 |
| (0.650, 0.700] |        2   |       3.5 |        96.5 |       4 |
| (0.700, 0.750] |        0.5 |       5.5 |        94.5 |       1 |
| (0.750, 0.800] |        3   |       6   |        94   |       6 |
| (0.800, 0.850] |        3.5 |       9   |        91   |       7 |
| (0.850, 0.900] |       11   |      12.5 |        87.5 |      22 |
| (0.900, 0.950] |       21.5 |      23.5 |        76.5 |      43 |
| (0.950, 1.000] |       55   |      45   |        55   |     110 |


DPBench markdown_text F1: mean=0.97 median=0.99 std=0.03

| F1             |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0   |       0   |       100   |       0 |
| (0.200, 0.250] |        0   |       0   |       100   |       0 |
| (0.250, 0.300] |        0   |       0   |       100   |       0 |
| (0.300, 0.350] |        0   |       0   |       100   |       0 |
| (0.350, 0.400] |        0   |       0   |       100   |       0 |
| (0.400, 0.450] |        0   |       0   |       100   |       0 |
| (0.450, 0.500] |        0   |       0   |       100   |       0 |
| (0.500, 0.550] |        0   |       0   |       100   |       0 |
| (0.550, 0.600] |        0   |       0   |       100   |       0 |
| (0.600, 0.650] |        0   |       0   |       100   |       0 |
| (0.650, 0.700] |        0   |       0   |       100   |       0 |
| (0.700, 0.750] |        0   |       0   |       100   |       0 |
| (0.750, 0.800] |        0.5 |       0   |       100   |       1 |
| (0.800, 0.850] |        0.5 |       0.5 |        99.5 |       1 |
| (0.850, 0.900] |        1   |       1   |        99   |       2 |
| (0.900, 0.950] |       19   |       2   |        98   |      38 |
| (0.950, 1.000] |       79   |      21   |        79   |     158 |


DPBench markdown_text precision: mean=0.97 median=0.99 std=0.04

| precision      |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0   |       0   |       100   |       0 |
| (0.200, 0.250] |        0   |       0   |       100   |       0 |
| (0.250, 0.300] |        0   |       0   |       100   |       0 |
| (0.300, 0.350] |        0   |       0   |       100   |       0 |
| (0.350, 0.400] |        0   |       0   |       100   |       0 |
| (0.400, 0.450] |        0   |       0   |       100   |       0 |
| (0.450, 0.500] |        0   |       0   |       100   |       0 |
| (0.500, 0.550] |        0   |       0   |       100   |       0 |
| (0.550, 0.600] |        0   |       0   |       100   |       0 |
| (0.600, 0.650] |        0.5 |       0   |       100   |       1 |
| (0.650, 0.700] |        0   |       0.5 |        99.5 |       0 |
| (0.700, 0.750] |        0.5 |       0.5 |        99.5 |       1 |
| (0.750, 0.800] |        0   |       1   |        99   |       0 |
| (0.800, 0.850] |        1   |       1   |        99   |       2 |
| (0.850, 0.900] |        2   |       2   |        98   |       4 |
| (0.900, 0.950] |        7.5 |       4   |        96   |      15 |
| (0.950, 1.000] |       88.5 |      11.5 |        88.5 |     177 |


DPBench markdown_text recall: mean=0.98 median=0.99 std=0.04

| recall         |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0   |       0   |       100   |       0 |
| (0.200, 0.250] |        0   |       0   |       100   |       0 |
| (0.250, 0.300] |        0   |       0   |       100   |       0 |
| (0.300, 0.350] |        0   |       0   |       100   |       0 |
| (0.350, 0.400] |        0   |       0   |       100   |       0 |
| (0.400, 0.450] |        0   |       0   |       100   |       0 |
| (0.450, 0.500] |        0   |       0   |       100   |       0 |
| (0.500, 0.550] |        0   |       0   |       100   |       0 |
| (0.550, 0.600] |        0   |       0   |       100   |       0 |
| (0.600, 0.650] |        0   |       0   |       100   |       0 |
| (0.650, 0.700] |        0   |       0   |       100   |       0 |
| (0.700, 0.750] |        0   |       0   |       100   |       0 |
| (0.750, 0.800] |        0   |       0   |       100   |       0 |
| (0.800, 0.850] |        0   |       0   |       100   |       0 |
| (0.850, 0.900] |        5.5 |       0   |       100   |      11 |
| (0.900, 0.950] |       13   |       5.5 |        94.5 |      26 |
| (0.950, 1.000] |       81.5 |      18.5 |        81.5 |     163 |


DPBench markdown_text edit_distance: mean=0.07 median=0.03 std=0.10

| edit_distance   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-----------------|------------|-----------|-------------|---------|
| (0.000, 0.050]  |       62.5 |       0   |       100   |     125 |
| (0.050, 0.100]  |       15   |      62.5 |        37.5 |      30 |
| (0.100, 0.150]  |        8.5 |      77.5 |        22.5 |      17 |
| (0.150, 0.200]  |        2.5 |      86   |        14   |       5 |
| (0.200, 0.250]  |        4   |      88.5 |        11.5 |       8 |
