DPBench table_structure TEDS_struct-only: mean=0.85 median=0.87 std=0.11

| TEDS_struct-only   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|--------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]     |       0    |      0    |      100    |       0 |
| (0.050, 0.100]     |       0    |      0    |      100    |       0 |
| (0.100, 0.150]     |       0    |      0    |      100    |       0 |
| (0.150, 0.200]     |       0    |      0    |      100    |       0 |
| (0.200, 0.250]     |       0    |      0    |      100    |       0 |
| (0.250, 0.300]     |       0    |      0    |      100    |       0 |
| (0.300, 0.350]     |       0    |      0    |      100    |       0 |
| (0.350, 0.400]     |       0    |      0    |      100    |       0 |
| (0.400, 0.450]     |       1.96 |      0    |      100    |       1 |
| (0.450, 0.500]     |       0    |      1.96 |       98.04 |       0 |
| (0.500, 0.550]     |       0    |      1.96 |       98.04 |       0 |
| (0.550, 0.600]     |       0    |      1.96 |       98.04 |       0 |
| (0.600, 0.650]     |       1.96 |      1.96 |       98.04 |       1 |
| (0.650, 0.700]     |       1.96 |      3.92 |       96.08 |       1 |
| (0.700, 0.750]     |       7.84 |      5.88 |       94.12 |       4 |
| (0.750, 0.800]     |      11.76 |     13.73 |       86.27 |       6 |
| (0.800, 0.850]     |      13.73 |     25.49 |       74.51 |       7 |
| (0.850, 0.900]     |      33.33 |     39.22 |       60.78 |      17 |
| (0.900, 0.950]     |      17.65 |     72.55 |       27.45 |       9 |
| (0.950, 1.000]     |       9.8  |     90.2  |        9.8  |       5 |


