DPBench table_structure TEDS_struct-with-text: mean=0.83 median=0.86 std=0.12

| TEDS_struct-with-text   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-------------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]          |       0    |      0    |      100    |       0 |
| (0.050, 0.100]          |       0    |      0    |      100    |       0 |
| (0.100, 0.150]          |       0    |      0    |      100    |       0 |
| (0.150, 0.200]          |       0    |      0    |      100    |       0 |
| (0.200, 0.250]          |       0    |      0    |      100    |       0 |
| (0.250, 0.300]          |       0    |      0    |      100    |       0 |
| (0.300, 0.350]          |       0    |      0    |      100    |       0 |
| (0.350, 0.400]          |       0    |      0    |      100    |       0 |
| (0.400, 0.450]          |       1.96 |      0    |      100    |       1 |
| (0.450, 0.500]          |       0    |      1.96 |       98.04 |       0 |
| (0.500, 0.550]          |       1.96 |      1.96 |       98.04 |       1 |
| (0.550, 0.600]          |       1.96 |      3.92 |       96.08 |       1 |
| (0.600, 0.650]          |       1.96 |      5.88 |       94.12 |       1 |
| (0.650, 0.700]          |       0    |      7.84 |       92.16 |       0 |
| (0.700, 0.750]          |      11.76 |      7.84 |       92.16 |       6 |
| (0.750, 0.800]          |      11.76 |     19.61 |       80.39 |       6 |
| (0.800, 0.850]          |      13.73 |     31.37 |       68.63 |       7 |
| (0.850, 0.900]          |      29.41 |     45.1  |       54.9  |      15 |
| (0.900, 0.950]          |      15.69 |     74.51 |       25.49 |       8 |
| (0.950, 1.000]          |       9.8  |     90.2  |        9.8  |       5 |


