FinTabNet tableformer TEDS_struct-with-text:

mean=0.89 median=0.91 std=0.10

| TEDS_struct-with-text   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-------------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]          |        0   |       0   |       100   |       0 |
| (0.050, 0.100]          |        0   |       0   |       100   |       0 |
| (0.100, 0.150]          |        0.1 |       0   |       100   |       1 |
| (0.150, 0.200]          |        0.1 |       0.1 |        99.9 |       1 |
| (0.200, 0.250]          |        0   |       0.2 |        99.8 |       0 |
| (0.250, 0.300]          |        0.1 |       0.2 |        99.8 |       1 |
| (0.300, 0.350]          |        0   |       0.3 |        99.7 |       0 |
| (0.350, 0.400]          |        0.7 |       0.3 |        99.7 |       7 |
| (0.400, 0.450]          |        0.1 |       1   |        99   |       1 |
| (0.450, 0.500]          |        0.2 |       1.1 |        98.9 |       2 |
| (0.500, 0.550]          |        0.6 |       1.3 |        98.7 |       6 |
| (0.550, 0.600]          |        0.5 |       1.9 |        98.1 |       5 |
| (0.600, 0.650]          |        0.5 |       2.4 |        97.6 |       5 |
| (0.650, 0.700]          |        1.1 |       2.9 |        97.1 |      11 |
| (0.700, 0.750]          |        1.6 |       4   |        96   |      16 |
| (0.750, 0.800]          |        4   |       5.6 |        94.4 |      40 |
| (0.800, 0.850]          |       13.7 |       9.6 |        90.4 |     137 |
| (0.850, 0.900]          |       18.9 |      23.3 |        76.7 |     189 |
| (0.900, 0.950]          |       30.7 |      42.2 |        57.8 |     307 |
| (0.950, 1.000]          |       27.1 |      72.9 |        27.1 |     271 |
