OmniDocBench size: 981

OmniDocBench markdown_text BLEU: mean=0.25 median=0.02 std=0.35

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |      56.98 |      0    |      100    |     559 |
| (0.050, 0.100] |       3.57 |     56.98 |       43.02 |      35 |
| (0.100, 0.150] |       2.55 |     60.55 |       39.45 |      25 |
| (0.150, 0.200] |       2.96 |     63.1  |       36.9  |      29 |
| (0.200, 0.250] |       2.75 |     66.06 |       33.94 |      27 |
| (0.250, 0.300] |       2.24 |     68.81 |       31.19 |      22 |
| (0.300, 0.350] |       0.82 |     71.05 |       28.95 |       8 |
| (0.350, 0.400] |       0.82 |     71.87 |       28.13 |       8 |
| (0.400, 0.450] |       0.71 |     72.68 |       27.32 |       7 |
| (0.450, 0.500] |       1.22 |     73.39 |       26.61 |      12 |
| (0.500, 0.550] |       0.61 |     74.62 |       25.38 |       6 |
| (0.550, 0.600] |       0.92 |     75.23 |       24.77 |       9 |
| (0.600, 0.650] |       1.22 |     76.15 |       23.85 |      12 |
| (0.650, 0.700] |       2.34 |     77.37 |       22.63 |      23 |
| (0.700, 0.750] |       1.94 |     79.71 |       20.29 |      19 |
| (0.750, 0.800] |       3.47 |     81.65 |       18.35 |      34 |
| (0.800, 0.850] |       4.38 |     85.12 |       14.88 |      43 |
| (0.850, 0.900] |       4.18 |     89.5  |       10.5  |      41 |
| (0.900, 0.950] |       4.59 |     93.68 |        6.32 |      45 |
| (0.950, 1.000] |       1.73 |     98.27 |        1.73 |      17 |


OmniDocBench markdown_text F1: mean=0.44 median=0.33 std=0.36

| F1             |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |      14.27 |      0    |      100    |     140 |
| (0.050, 0.100] |       9.79 |     14.27 |       85.73 |      96 |
| (0.100, 0.150] |       7.75 |     24.06 |       75.94 |      76 |
| (0.150, 0.200] |       4.08 |     31.8  |       68.2  |      40 |
| (0.200, 0.250] |       4.89 |     35.88 |       64.12 |      48 |
| (0.250, 0.300] |       7.03 |     40.77 |       59.23 |      69 |
| (0.300, 0.350] |       4.49 |     47.81 |       52.19 |      44 |
| (0.350, 0.400] |       3.36 |     52.29 |       47.71 |      33 |
| (0.400, 0.450] |       4.38 |     55.66 |       44.34 |      43 |
| (0.450, 0.500] |       1.22 |     60.04 |       39.96 |      12 |
| (0.500, 0.550] |       0.92 |     61.26 |       38.74 |       9 |
| (0.550, 0.600] |       0.92 |     62.18 |       37.82 |       9 |
| (0.600, 0.650] |       0.61 |     63.1  |       36.9  |       6 |
| (0.650, 0.700] |       1.22 |     63.71 |       36.29 |      12 |
| (0.700, 0.750] |       1.83 |     64.93 |       35.07 |      18 |
| (0.750, 0.800] |       1.02 |     66.77 |       33.23 |      10 |
| (0.800, 0.850] |       3.36 |     67.79 |       32.21 |      33 |
| (0.850, 0.900] |      12.03 |     71.15 |       28.85 |     118 |
| (0.900, 0.950] |      11.42 |     83.18 |       16.82 |     112 |
| (0.950, 1.000] |       5.4  |     94.6  |        5.4  |      53 |


OmniDocBench markdown_text precision: mean=0.50 median=0.50 std=0.35

| precision      |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |      11.01 |      0    |      100    |     108 |
| (0.050, 0.100] |       6.42 |     11.01 |       88.99 |      63 |
| (0.100, 0.150] |       6.01 |     17.43 |       82.57 |      59 |
| (0.150, 0.200] |       4.18 |     23.45 |       76.55 |      41 |
| (0.200, 0.250] |       4.99 |     27.62 |       72.38 |      49 |
| (0.250, 0.300] |       6.32 |     32.62 |       67.38 |      62 |
| (0.300, 0.350] |       3.87 |     38.94 |       61.06 |      38 |
| (0.350, 0.400] |       2.14 |     42.81 |       57.19 |      21 |
| (0.400, 0.450] |       3.16 |     44.95 |       55.05 |      31 |
| (0.450, 0.500] |       1.63 |     48.11 |       51.89 |      16 |
| (0.500, 0.550] |       7.14 |     49.75 |       50.25 |      70 |
| (0.550, 0.600] |       1.83 |     56.88 |       43.12 |      18 |
| (0.600, 0.650] |       0.82 |     58.72 |       41.28 |       8 |
| (0.650, 0.700] |       2.75 |     59.53 |       40.47 |      27 |
