OmniDocBench reading_order ARD_norm: mean=0.85 median=0.85 std=0.11

| ARD_norm       |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0    |      0    |      100    |       0 |
| (0.050, 0.100] |       0    |      0    |      100    |       0 |
| (0.100, 0.150] |       0    |      0    |      100    |       0 |
| (0.150, 0.200] |       0    |      0    |      100    |       0 |
| (0.200, 0.250] |       0    |      0    |      100    |       0 |
| (0.250, 0.300] |       0    |      0    |      100    |       0 |
| (0.300, 0.350] |       0    |      0    |      100    |       0 |
| (0.350, 0.400] |       0    |      0    |      100    |       0 |
| (0.400, 0.450] |       0    |      0    |      100    |       0 |
| (0.450, 0.500] |       0    |      0    |      100    |       0 |
| (0.500, 0.550] |       0.92 |      0    |      100    |       9 |
| (0.550, 0.600] |       0.82 |      0.92 |       99.08 |       8 |
| (0.600, 0.650] |       1.22 |      1.73 |       98.27 |      12 |
| (0.650, 0.700] |       4.28 |      2.96 |       97.04 |      42 |
| (0.700, 0.750] |       7.75 |      7.24 |       92.76 |      76 |
| (0.750, 0.800] |      15.9  |     14.98 |       85.02 |     156 |
| (0.800, 0.850] |      20.39 |     30.89 |       69.11 |     200 |
| (0.850, 0.900] |      19.57 |     51.27 |       48.73 |     192 |
| (0.900, 0.950] |       7.95 |     70.85 |       29.15 |      78 |
| (0.950, 1.000] |      21.2  |     78.8  |       21.2  |     208 |


