OmniDocBench reading_order weighted_ARD: mean=0.98 median=0.99 std=0.03

| weighted_ARD   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0    |      0    |      100    |       0 |
| (0.050, 0.100] |       0    |      0    |      100    |       0 |
| (0.100, 0.150] |       0    |      0    |      100    |       0 |
| (0.150, 0.200] |       0    |      0    |      100    |       0 |
| (0.200, 0.250] |       0    |      0    |      100    |       0 |
| (0.250, 0.300] |       0    |      0    |      100    |       0 |
| (0.300, 0.350] |       0    |      0    |      100    |       0 |
| (0.350, 0.400] |       0    |      0    |      100    |       0 |
| (0.400, 0.450] |       0    |      0    |      100    |       0 |
| (0.450, 0.500] |       0    |      0    |      100    |       0 |
| (0.500, 0.550] |       0    |      0    |      100    |       0 |
| (0.550, 0.600] |       0    |      0    |      100    |       0 |
| (0.600, 0.650] |       0    |      0    |      100    |       0 |
| (0.650, 0.700] |       0    |      0    |      100    |       0 |
| (0.700, 0.750] |       0    |      0    |      100    |       0 |
| (0.750, 0.800] |       0.41 |      0    |      100    |       4 |
| (0.800, 0.850] |       0.1  |      0.41 |       99.59 |       1 |
| (0.850, 0.900] |       1.83 |      0.51 |       99.49 |      18 |
| (0.900, 0.950] |       6.73 |      2.34 |       97.66 |      66 |
| (0.950, 1.000] |      90.93 |      9.07 |       90.93 |     892 |


