OmniDocBench tableformer TEDS_struct-only:

mean=0.80 median=0.86 std=0.19

| TEDS_struct-only   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|--------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]     |       0.61 |      0    |      100    |       2 |
| (0.050, 0.100]     |       0    |      0.61 |       99.39 |       0 |
| (0.100, 0.150]     |       0.61 |      0.61 |       99.39 |       2 |
| (0.150, 0.200]     |       0    |      1.21 |       98.79 |       0 |
| (0.200, 0.250]     |       0.3  |      1.21 |       98.79 |       1 |
| (0.250, 0.300]     |       1.21 |      1.52 |       98.48 |       4 |
| (0.300, 0.350]     |       2.12 |      2.73 |       97.27 |       7 |
| (0.350, 0.400]     |       0.91 |      4.85 |       95.15 |       3 |
| (0.400, 0.450]     |       0.91 |      5.76 |       94.24 |       3 |
| (0.450, 0.500]     |       0.91 |      6.67 |       93.33 |       3 |
| (0.500, 0.550]     |       2.12 |      7.58 |       92.42 |       7 |
| (0.550, 0.600]     |       3.03 |      9.7  |       90.3  |      10 |
| (0.600, 0.650]     |       3.33 |     12.73 |       87.27 |      11 |
| (0.650, 0.700]     |       3.94 |     16.06 |       83.94 |      13 |
| (0.700, 0.750]     |       7.27 |     20    |       80    |      24 |
| (0.750, 0.800]     |       6.97 |     27.27 |       72.73 |      23 |
| (0.800, 0.850]     |      13.33 |     34.24 |       65.76 |      44 |
| (0.850, 0.900]     |      13.33 |     47.58 |       52.42 |      44 |
| (0.900, 0.950]     |      22.12 |     60.91 |       39.09 |      73 |
| (0.950, 1.000]     |      16.97 |     83.03 |       16.97 |      56 |
