OmniDocBench tableformer TEDS_struct-with-text:

mean=0.69 median=0.77 std=0.26

| TEDS_struct-with-text   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-------------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]          |       0.91 |      0    |      100    |       3 |
| (0.050, 0.100]          |       0.91 |      0.91 |       99.09 |       3 |
| (0.100, 0.150]          |       3.94 |      1.82 |       98.18 |      13 |
| (0.150, 0.200]          |       2.42 |      5.76 |       94.24 |       8 |
| (0.200, 0.250]          |       2.42 |      8.18 |       91.82 |       8 |
| (0.250, 0.300]          |       1.52 |     10.61 |       89.39 |       5 |
| (0.300, 0.350]          |       3.33 |     12.12 |       87.88 |      11 |
| (0.350, 0.400]          |       2.42 |     15.45 |       84.55 |       8 |
| (0.400, 0.450]          |       1.82 |     17.88 |       82.12 |       6 |
| (0.450, 0.500]          |       2.73 |     19.7  |       80.3  |       9 |
| (0.500, 0.550]          |       3.33 |     22.42 |       77.58 |      11 |
| (0.550, 0.600]          |       4.24 |     25.76 |       74.24 |      14 |
| (0.600, 0.650]          |       2.73 |     30    |       70    |       9 |
| (0.650, 0.700]          |       4.24 |     32.73 |       67.27 |      14 |
| (0.700, 0.750]          |      10    |     36.97 |       63.03 |      33 |
| (0.750, 0.800]          |       8.18 |     46.97 |       53.03 |      27 |
| (0.800, 0.850]          |      10.61 |     55.15 |       44.85 |      35 |
| (0.850, 0.900]          |      11.82 |     65.76 |       34.24 |      39 |
| (0.900, 0.950]          |      12.73 |     77.58 |       22.42 |      42 |
| (0.950, 1.000]          |       9.7  |     90.3  |        9.7  |      32 |
