Pub1M tableformer TEDS_struct-only:

mean=0.84 median=0.87 std=0.16

| TEDS_struct-only   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|--------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]     |       1.4  |      0    |      100    |      14 |
| (0.050, 0.100]     |       0.6  |      1.4  |       98.6  |       6 |
| (0.100, 0.150]     |       0.4  |      2    |       98    |       4 |
| (0.150, 0.200]     |       0.1  |      2.4  |       97.6  |       1 |
| (0.200, 0.250]     |       0    |      2.5  |       97.5  |       0 |
| (0.250, 0.300]     |       0.1  |      2.5  |       97.5  |       1 |
| (0.300, 0.350]     |       0.1  |      2.6  |       97.4  |       1 |
| (0.350, 0.400]     |       0    |      2.7  |       97.3  |       0 |
| (0.400, 0.450]     |       0.5  |      2.7  |       97.3  |       5 |
| (0.450, 0.500]     |       0.6  |      3.2  |       96.8  |       6 |
| (0.500, 0.550]     |       0.5  |      3.8  |       96.2  |       5 |
| (0.550, 0.600]     |       0.9  |      4.3  |       95.7  |       9 |
| (0.600, 0.650]     |       2    |      5.21 |       94.79 |      20 |
| (0.650, 0.700]     |       2.3  |      7.21 |       92.79 |      23 |
| (0.700, 0.750]     |       5.01 |      9.51 |       90.49 |      50 |
| (0.750, 0.800]     |      12.41 |     14.51 |       85.49 |     124 |
| (0.800, 0.850]     |      14.31 |     26.93 |       73.07 |     143 |
| (0.850, 0.900]     |      20.82 |     41.24 |       58.76 |     208 |
| (0.900, 0.950]     |      22.52 |     62.06 |       37.94 |     225 |
| (0.950, 1.000]     |      15.42 |     84.58 |       15.42 |     154 |
