Pub1M tableformer TEDS_struct-with-text:

mean=0.82 median=0.86 std=0.17

| TEDS_struct-with-text   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-------------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]          |       1.5  |      0    |      100    |      15 |
| (0.050, 0.100]          |       0.6  |      1.5  |       98.5  |       6 |
| (0.100, 0.150]          |       0.3  |      2.1  |       97.9  |       3 |
| (0.150, 0.200]          |       0.1  |      2.4  |       97.6  |       1 |
| (0.200, 0.250]          |       0.1  |      2.5  |       97.5  |       1 |
| (0.250, 0.300]          |       0.3  |      2.6  |       97.4  |       3 |
| (0.300, 0.350]          |       0.1  |      2.9  |       97.1  |       1 |
| (0.350, 0.400]          |       0.6  |      3    |       97    |       6 |
| (0.400, 0.450]          |       0.5  |      3.6  |       96.4  |       5 |
| (0.450, 0.500]          |       0.5  |      4.1  |       95.9  |       5 |
| (0.500, 0.550]          |       0.6  |      4.6  |       95.4  |       6 |
| (0.550, 0.600]          |       1.4  |      5.21 |       94.79 |      14 |
| (0.600, 0.650]          |       2.6  |      6.61 |       93.39 |      26 |
| (0.650, 0.700]          |       2.4  |      9.21 |       90.79 |      24 |
| (0.700, 0.750]          |       6.31 |     11.61 |       88.39 |      63 |
| (0.750, 0.800]          |      12.11 |     17.92 |       82.08 |     121 |
| (0.800, 0.850]          |      14.01 |     30.03 |       69.97 |     140 |
| (0.850, 0.900]          |      20.22 |     44.04 |       55.96 |     202 |
| (0.900, 0.950]          |      21.52 |     64.26 |       35.74 |     215 |
| (0.950, 1.000]          |      14.11 |     85.79 |       14.21 |     141 |
