PubTabNet tableformer TEDS_struct-only:

mean=0.81 median=0.84 std=0.12

| TEDS_struct-only   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|--------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]     |        0.1 |       0   |       100   |       1 |
| (0.050, 0.100]     |        0   |       0.1 |        99.9 |       0 |
| (0.100, 0.150]     |        0.1 |       0.1 |        99.9 |       1 |
| (0.150, 0.200]     |        0.1 |       0.2 |        99.8 |       1 |
| (0.200, 0.250]     |        0   |       0.3 |        99.7 |       0 |
| (0.250, 0.300]     |        0   |       0.3 |        99.7 |       0 |
| (0.300, 0.350]     |        0.3 |       0.3 |        99.7 |       3 |
| (0.350, 0.400]     |        0.4 |       0.6 |        99.4 |       4 |
| (0.400, 0.450]     |        0.7 |       1   |        99   |       7 |
| (0.450, 0.500]     |        0.6 |       1.7 |        98.3 |       6 |
| (0.500, 0.550]     |        1.5 |       2.3 |        97.7 |      15 |
| (0.550, 0.600]     |        1.8 |       3.8 |        96.2 |      18 |
| (0.600, 0.650]     |        2.9 |       5.6 |        94.4 |      29 |
| (0.650, 0.700]     |        5.9 |       8.5 |        91.5 |      59 |
| (0.700, 0.750]     |        8.8 |      14.4 |        85.6 |      88 |
| (0.750, 0.800]     |       13.2 |      23.2 |        76.8 |     132 |
| (0.800, 0.850]     |       19.4 |      36.4 |        63.6 |     194 |
| (0.850, 0.900]     |       17.5 |      55.8 |        44.2 |     175 |
| (0.900, 0.950]     |       20.8 |      73.3 |        26.7 |     208 |
| (0.950, 1.000]     |        5.9 |      94.1 |         5.9 |      59 |
