PubTabNet tableformer TEDS_struct-with-text:

mean=0.80 median=0.83 std=0.13

| TEDS_struct-with-text   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-------------------------|------------|-----------|-------------|---------|
| (0.000, 0.050]          |        0   |       0   |       100   |       0 |
| (0.050, 0.100]          |        0.2 |       0   |       100   |       2 |
| (0.100, 0.150]          |        0   |       0.2 |        99.8 |       0 |
| (0.150, 0.200]          |        0   |       0.2 |        99.8 |       0 |
| (0.200, 0.250]          |        0   |       0.2 |        99.8 |       0 |
| (0.250, 0.300]          |        0.3 |       0.2 |        99.8 |       3 |
| (0.300, 0.350]          |        0.4 |       0.5 |        99.5 |       4 |
| (0.350, 0.400]          |        0.5 |       0.9 |        99.1 |       5 |
| (0.400, 0.450]          |        0.9 |       1.4 |        98.6 |       9 |
| (0.450, 0.500]          |        0.5 |       2.3 |        97.7 |       5 |
| (0.500, 0.550]          |        1.7 |       2.8 |        97.2 |      17 |
| (0.550, 0.600]          |        2.6 |       4.5 |        95.5 |      26 |
| (0.600, 0.650]          |        3   |       7.1 |        92.9 |      30 |
| (0.650, 0.700]          |        6.3 |      10.1 |        89.9 |      63 |
| (0.700, 0.750]          |        9.7 |      16.4 |        83.6 |      97 |
| (0.750, 0.800]          |       14.7 |      26.1 |        73.9 |     147 |
| (0.800, 0.850]          |       18.3 |      40.8 |        59.2 |     183 |
| (0.850, 0.900]          |       18.9 |      59.1 |        40.9 |     189 |
| (0.900, 0.950]          |       18.2 |      78   |        22   |     182 |
| (0.950, 1.000]          |        3.7 |      96.2 |         3.8 |      37 |
